Batting Order,Position,Player ID,Rating,Name,Headshot,
1,LF,https://research.mlb.com/players/682927,68,Ronny Simon,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/682927/headshot/67/current",682927
2,2B,https://research.mlb.com/players/660644,69,Vidal Bruján,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/660644/headshot/67/current",660644
3,RF,https://research.mlb.com/players/622569,75,Pablo Reyes,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/622569/headshot/67/current",622569
4,1B,https://research.mlb.com/players/687859,70,Troy Johnston,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/687859/headshot/67/current",687859
5,3B,https://research.mlb.com/players/622168,70,Yairo Muñoz,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/622168/headshot/67/current",622168
6,SS,https://research.mlb.com/players/542436,60,Cristhian Adames,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/542436/headshot/67/current",542436
7,DH,https://research.mlb.com/players/593772,65,Yeison Ascensio,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/593772/headshot/67/current",593772
8,CF,https://research.mlb.com/players/520976,64,Engel Beltre,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/520976/headshot/67/current",520976
9,C,https://research.mlb.com/players/663503,60,Elih Marrero,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/663503/headshot/67/current",663503
,SP,https://research.mlb.com/players/641754,70,Jeff Kinley,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_100/v1/people/641754/headshot/67/current",641754
